"date","ON","QC","MB","NB","AB","NS","BC","SK","PEI","TR","nonUS","US"
2019-01-01,31.6850357913873,24.3495057379843,0.581752073627997,3.49732984888081,8.81945233496194,27.1537325303943,2.15884558572889,0.518122940574935,1.03170094307465,0.204522213384843,39.3750778040583,60.6249221959417
2019-02-01,32.046894510475,25.8405401655644,0.675206955556583,3.78994589094945,7.52208296721084,26.8787864773621,1.99787263561948,0.437034639041761,0.605836377930907,0.205799380289507,39.4338638142447,60.5661361857553
2019-03-01,33.067050005134,24.0722866824109,0.747510011294794,3.72933566074546,6.9904507649656,27.9679638566588,2.28976280932334,0.291611048362255,0.494917342642982,0.349111818461854,36.4813278008299,63.5186721991701
2019-04-01,33.79842721212,22.964354269438,0.71621705298355,3.96705814361494,7.71945757394373,27.0346137175174,2.09498648062912,0.602695618072612,0.745113418233606,0.35707651344713,32.1566358024691,67.8433641975309
2019-05-01,37.0737091304626,17.0708298675539,1.07332522874144,3.69825324716872,7.87958282679634,28.6614626655576,2.6361251519611,0.874976006142428,0.687823917077228,0.343911958538614,39.4551995888299,60.5448004111701
2019-06-01,42.0330486686219,13.7259208537357,1.49093680960194,3.22993242981357,9.7350163434581,23.8950401157608,4.10459813180708,0.57621994547874,0.676993837288924,0.532292864433276,45.3720746778859,54.6279253221141
2019-07-01,45.1931193607083,11.0253428126583,1.3684368493125,2.70217036522914,13.3120111050667,20.2104710274063,4.30321334108687,0.93699000168827,0.535556847811814,0.412688289031871,45.6559894690654,54.3440105309346
2019-08-01,44.1363131971889,11.8101115502171,1.16514493741118,2.8306110927249,10.6994763174801,22.2915490490003,4.66739346272899,1.21770786691845,0.732960850351393,0.448731675978741,46.0199004975124,53.9800995024876
2019-09-01,38.3816387054256,16.2523818392814,1.50288686084328,3.55162681413774,8.25513259502285,26.0920643562229,3.75936618003123,0.918351265777447,0.92981274803364,0.356738635224,44.8403311649911,55.1596688350089
2019-10-01,33.8571406100074,19.341544366319,1.10109637739292,3.33317603385085,9.13909993236122,28.6049108898432,2.89902946219307,0.473471442278955,0.734588583203561,0.515942302549825,34.8803712891094,65.1196287108906
2019-11-01,33.3238362409047,18.8020513719646,0.552292452003156,3.98877882002279,8.10248093276059,30.3322521258876,2.83816954501622,0.519417901288682,1.09800999386342,0.442710616288244,29.1442709666411,70.8557290333589
2019-12-01,34.9548781904799,14.9347379836554,0.898563073705411,4.04740694837135,10.9860955110577,27.675355358457,4.40179712614741,0.594523412990433,0.803671714628762,0.702970680506604,33.2266666666667,66.7733333333333
2020-01-01,35.0128252106999,16.6884782494896,0.78259959168717,4.38674553735015,9.56917761608124,28.0950636025755,3.86850232947705,0.617704025545726,0.704077893524577,0.274825943569073,42.187284512481,57.812715487519
2020-02-01,33.33244702066,19.8223829402537,0.776409901885187,4.43776755563828,7.73219176261001,28.00659416629,4.02563216251429,0.417453269164296,0.930628307054163,0.518492913930176,32.7964316689382,67.2035683310618
2020-03-01,33.7477675504877,16.3724412694051,0.910152493474378,3.97376013188625,7.16788020332463,31.2611622475615,4.43055364747905,0.618216788020332,0.848330814672345,0.669734853688693,43.0396854650448,56.9603145349552
2020-09-01,23.7849017580145,3.72285418821096,0.723888314374355,4.44674250258532,9.30713547052741,52.6370217166495,2.37849017580145,0.517063081695966,1.24095139607032,1.24095139607032,49.9999999999999,49.9999999999999
2020-10-01,28.0853224987303,3.40274250888776,0.660233621127476,4.57084814626714,14.4743524631793,41.1376333164043,3.25038090401219,1.01574403250381,1.52361604875571,1.87912646013205,55.7692307692308,44.2307692307692
2020-11-01,25.6988719960765,4.85532123589995,0.686611083864639,5.49288867091712,16.3805787150564,39.3820500245218,4.80627758705247,0.539480137322216,0.735654732712113,1.42226581657675,51.4851485148515,48.5148514851485
2020-12-01,28.6230574629563,5.56559450668594,2.25876400433683,3.99349475966751,24.2862305746296,17.040115648717,9.54101915431875,1.08420672208168,1.40946873870618,6.19804842790025,63.3177570093458,36.6822429906542
2021-01-01,30.0965517241379,7.17241379310344,1.15862068965517,5.26896551724138,22.8413793103448,20.551724137931,7.00689655172413,0.689655172413793,0.606896551724138,4.60689655172413,67.9878048780487,32.0121951219512
2021-02-01,26.9164661395668,7.21897559298728,1.92506015812994,3.16259883121348,27.363355104847,16.1567548985906,8.25025782055689,1.03128222756961,0.790649707803369,7.18459951873496,75.8490566037735,24.1509433962264
2021-03-01,28.4079084287201,10.0676378772112,1.89906347554631,3.1477627471384,25.8844953173777,12.7471383975026,8.74089490114464,1.3267429760666,0.676378772112383,7.10197710718002,60.8606557377049,39.1393442622951
2021-04-01,28.0210794112302,7.19607486825368,1.47192440487007,3.48900599672906,26.149373069235,15.591495547883,9.21315646011266,1.16300199890969,0.70870434308559,6.99618389969107,69.3251533742331,30.6748466257668
2021-05-01,28.1809759110562,6.97961704756022,1.52872143298332,3.58245830759728,27.9184681902409,14.6849907350216,8.36936380481779,1.66769610870908,1.11179740580605,5.97591105620754,67.2941176470588,32.7058823529412
